-BEGIN HEADER-
NASA/POWER CERES/MERRA2 Native Resolution Daily Data 
Dates (month/day/year): 01/01/2021 through 12/31/2021 
Location: Latitude  55.9201   Longitude -3.156 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 128.13 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
QV2M            MERRA-2 Specific Humidity at 2 Meters (g/kg) 
RH2M            MERRA-2 Relative Humidity at 2 Meters (%) 
PRECTOTCORR     MERRA-2 Precipitation Corrected (mm/day) 
-END HEADER-
YEAR,MO,DY,QV2M,RH2M,PRECTOTCORR
2021,4,8,5.0,88.19,1.27
2021,4,9,3.48,78.94,0.19
2021,4,10,3.42,81.44,0.63
2021,4,11,3.17,77.25,0.57
2021,4,12,3.23,72.12,0.0
2021,4,13,3.78,75.38,0.53
2021,4,14,4.39,80.69,0.16
2021,4,15,4.27,78.38,0.0
2021,4,16,4.39,76.44,0.0
2021,4,17,4.76,75.56,0.0
2021,4,18,5.37,86.56,0.74
2021,4,19,5.62,81.38,0.0
2021,4,20,5.74,86.88,1.65
2021,4,21,4.21,75.88,0.03
2021,4,22,5.07,75.75,0.0
2021,4,23,5.49,77.0,0.0
2021,4,24,5.25,84.06,0.0
2021,4,25,5.07,81.0,0.01
2021,4,26,5.74,83.0,0.67
2021,4,27,5.31,90.69,2.82
2021,4,28,4.52,81.44,1.1
2021,4,29,4.52,83.5,1.59
2021,4,30,4.39,81.0,1.07
2021,5,1,4.15,73.94,0.8
2021,5,2,4.82,80.88,0.76
2021,5,3,5.07,93.31,20.97
2021,5,4,4.58,84.19,9.83
2021,5,5,4.03,80.0,1.01
2021,5,6,4.52,86.88,3.3
2021,5,7,4.46,78.81,0.98
2021,5,8,5.43,89.69,4.45
2021,5,9,6.84,87.56,1.13
2021,5,10,6.65,85.88,2.43
2021,5,11,6.16,80.25,7.75
2021,5,12,6.23,81.69,3.57
2021,5,13,6.04,90.88,0.86
2021,5,14,5.86,83.81,0.88
2021,5,15,5.98,85.31,0.82
2021,5,16,6.29,88.5,1.75
2021,5,17,6.35,87.31,4.37
2021,5,18,5.92,82.56,0.9
2021,5,19,5.98,81.06,1.23
2021,5,20,6.35,91.12,4.86
2021,5,21,6.23,92.38,15.53
2021,5,22,4.94,77.38,1.65
2021,5,23,5.8,84.5,10.23
2021,5,24,5.92,87.88,3.5
2021,5,25,5.98,84.62,2.32
2021,5,26,6.65,86.75,3.57
2021,5,27,6.71,81.56,0.16
2021,5,28,6.65,78.69,0.05
2021,5,29,7.81,84.38,0.27
2021,5,30,8.36,82.06,0.06
2021,5,31,7.57,77.25,0.0
2021,6,1,8.0,78.25,0.07
2021,6,2,7.32,84.19,0.18
2021,6,3,8.0,84.94,0.46
2021,6,4,7.14,80.31,0.04
2021,6,5,7.39,78.69,0.1
2021,6,6,7.2,76.69,0.1
2021,6,7,7.69,81.38,0.04
2021,6,8,8.18,83.69,0.25
2021,6,9,9.52,87.12,0.78
2021,6,10,10.07,87.19,0.78
2021,6,11,8.0,80.12,0.46
2021,6,12,7.08,78.0,0.2
2021,6,13,9.95,86.31,2.02
2021,6,14,6.96,80.19,1.77
2021,6,15,7.08,78.12,0.42
2021,6,16,8.18,83.75,1.04
2021,6,17,7.39,78.38,0.02
2021,6,18,7.08,83.06,0.3
2021,6,19,7.81,83.88,0.61
2021,6,20,7.81,80.75,0.97
2021,6,21,6.59,76.81,0.25
2021,6,22,6.41,71.06,0.04
2021,6,23,9.22,87.75,1.24
2021,6,24,9.03,88.44,10.83
2021,6,25,6.71,80.62,4.3
2021,6,26,7.51,89.69,2.41
2021,6,27,8.3,79.44,0.06
2021,6,28,9.28,81.94,0.11
2021,6,29,8.79,83.44,0.18
2021,6,30,7.69,83.12,0.18
2021,7,1,7.02,72.19,0.01
2021,7,2,8.24,80.81,1.14
2021,7,3,9.83,90.69,5.93
2021,7,4,10.13,88.88,6.15
2021,7,5,9.28,88.0,14.46
2021,7,6,8.42,87.69,5.89
2021,7,7,9.09,82.19,0.85
2021,7,8,9.22,82.62,0.4
2021,7,9,9.58,84.81,1.74
2021,7,10,9.7,85.81,1.87
2021,7,11,10.01,86.12,2.51
2021,7,12,9.7,88.88,1.08
2021,7,13,9.52,82.56,0.32
2021,7,14,9.77,81.88,0.22
2021,7,15,9.22,76.94,0.03
2021,7,16,10.44,84.06,0.08
2021,7,17,10.68,83.69,0.03
2021,7,18,9.58,82.88,0.02
2021,7,19,10.25,82.44,0.05
2021,7,20,10.62,87.5,0.24
2021,7,21,11.17,82.81,0.12
2021,7,22,10.74,87.56,0.27
2021,7,23,10.19,86.75,0.05
2021,7,24,9.16,84.25,0.04
2021,7,25,8.97,82.56,0.04
2021,7,26,10.5,82.88,0.32
2021,7,27,10.62,87.94,6.47
2021,7,28,9.16,85.44,6.13
2021,7,29,9.52,86.81,1.82
2021,7,30,9.22,86.56,1.23
2021,7,31,8.85,85.56,1.71
2021,8,1,7.26,76.5,0.12
2021,8,2,7.81,76.88,0.04
2021,8,3,8.61,82.0,1.38
2021,8,4,8.91,80.5,0.34
2021,8,5,9.64,83.19,6.63
2021,8,6,10.62,90.94,11.42
2021,8,7,9.89,90.44,15.86
2021,8,8,9.83,88.75,10.38
2021,8,9,9.58,88.88,9.06
2021,8,10,9.28,84.75,2.9
2021,8,11,9.52,88.06,4.77
2021,8,12,8.24,82.94,0.62
2021,8,13,8.42,83.31,1.79
2021,8,14,8.42,83.19,0.54
2021,8,15,8.24,84.94,0.19
2021,8,16,7.57,80.06,0.34
2021,8,17,9.22,84.56,1.63
2021,8,18,9.09,84.69,0.14
2021,8,19,8.79,89.44,1.59
2021,8,20,9.46,87.12,1.52
2021,8,21,10.38,93.12,9.6
2021,8,22,9.7,89.62,1.56
2021,8,23,9.7,86.31,0.15
2021,8,24,10.01,84.81,0.05
2021,8,25,10.07,87.62,0.06
2021,8,26,8.06,84.5,0.11
2021,8,27,7.39,84.0,0.23
2021,8,28,8.12,83.38,0.01
2021,8,29,8.18,86.19,0.24
2021,8,30,7.45,84.12,0.25
2021,8,31,7.69,85.0,0.23
2021,9,1,8.0,85.12,0.07
2021,9,2,8.0,89.69,0.55
2021,9,3,7.81,89.75,0.76
2021,9,4,8.06,85.0,0.56
2021,9,5,8.91,84.56,3.69
2021,9,6,10.38,89.94,0.96
2021,9,7,10.86,85.31,0.12
2021,9,8,10.99,83.25,0.03
2021,9,9,10.5,91.88,1.72
2021,9,10,10.62,89.62,2.37
2021,9,11,9.4,88.12,0.66
2021,9,12,7.45,84.62,0.5
2021,9,13,7.45,81.94,0.26
2021,9,14,8.48,87.25,1.48
2021,9,15,8.61,85.69,0.1
2021,9,16,8.48,84.5,0.84
2021,9,17,9.46,86.44,2.52
2021,9,18,8.79,86.81,4.0
2021,9,19,8.54,86.94,4.61
2021,9,20,8.0,87.38,0.23
2021,9,21,7.93,82.44,0.07
2021,9,22,8.91,85.31,1.69
2021,9,23,8.0,82.44,0.43
2021,9,24,8.91,85.31,0.25
2021,9,25,9.58,90.62,0.34
2021,9,26,9.77,85.69,2.11
2021,9,27,7.08,82.81,14.0
2021,9,28,6.77,87.88,6.54
2021,9,29,6.1,84.44,0.32
2021,9,30,7.87,92.25,9.66
2021,10,1,6.84,85.0,3.09
2021,10,2,6.77,91.81,8.92
2021,10,3,6.65,87.69,1.22
2021,10,4,6.84,90.5,0.77
2021,10,5,6.77,94.31,12.55
2021,10,6,6.47,86.06,2.96
2021,10,7,9.95,92.06,1.79
2021,10,8,9.4,93.38,0.91
2021,10,9,8.85,95.94,4.34
2021,10,10,6.71,88.69,0.13
2021,10,11,7.14,91.44,1.2
2021,10,12,7.39,93.56,0.88
2021,10,13,7.57,89.81,0.36
2021,10,14,7.14,89.5,1.73
2021,10,15,4.7,84.38,0.06
2021,10,16,5.55,87.69,11.8
2021,10,17,8.3,96.12,6.38
2021,10,18,8.79,94.25,1.53
2021,10,19,9.46,93.69,2.41
2021,10,20,6.16,82.81,1.38
2021,10,21,4.88,82.69,0.26
2021,10,22,5.37,84.75,0.51
2021,10,23,7.02,91.44,1.62
2021,10,24,7.87,89.31,3.6
2021,10,25,6.41,90.12,0.63
2021,10,26,8.06,93.06,3.47
2021,10,27,9.28,93.44,10.66
2021,10,28,8.73,95.94,11.31
2021,10,29,7.26,95.56,17.55
2021,10,30,6.59,92.31,5.85
2021,10,31,6.53,96.31,13.14
2021,11,1,6.16,91.38,0.82
2021,11,2,5.92,94.44,0.86
2021,11,3,5.25,94.31,0.39
2021,11,4,4.76,93.44,0.04
2021,11,5,6.59,95.0,0.63
2021,11,6,6.41,89.75,4.37
2021,11,7,5.13,83.5,0.41
2021,11,8,6.65,95.38,2.57
2021,11,9,7.39,92.44,1.59
2021,11,10,5.86,91.56,0.12
2021,11,11,6.41,94.5,2.93
2021,11,12,7.26,94.12,4.68
2021,11,13,6.23,95.12,0.19
2021,11,14,6.23,95.5,0.6
2021,11,15,6.35,94.12,0.99
2021,11,16,5.92,92.0,1.22
2021,11,17,5.86,92.0,0.82
2021,11,18,7.75,91.38,0.53
2021,11,19,7.63,92.38,0.44
2021,11,20,6.23,91.38,0.62
2021,11,21,4.7,94.25,0.37
2021,11,22,4.7,97.12,0.12
2021,11,23,5.49,95.56,0.14
2021,11,24,5.25,93.62,0.35
2021,11,25,4.52,92.19,2.03
2021,11,26,4.58,84.44,10.98
2021,11,27,3.48,84.19,0.49
2021,11,28,3.66,95.81,0.44
2021,11,29,4.64,93.94,1.33
2021,11,30,6.59,95.62,16.62
2021,12,1,4.7,90.62,4.6
2021,12,2,3.78,89.56,1.33
2021,12,3,5.31,95.38,1.05
2021,12,4,4.88,92.31,10.66
2021,12,5,4.09,87.5,1.15
2021,12,6,4.64,95.5,4.81
2021,12,7,4.52,95.38,8.96
2021,12,8,5.13,95.75,2.08
2021,12,9,4.76,97.0,5.18
2021,12,10,4.52,96.81,0.1
2021,12,11,5.43,96.25,3.51
2021,12,12,6.23,95.5,0.88
2021,12,13,5.31,94.19,0.34
2021,12,14,5.68,94.25,0.58
2021,12,15,6.41,95.25,1.08
2021,12,16,6.04,97.31,0.91
2021,12,17,5.25,98.12,0.12
2021,12,18,4.46,97.94,0.25
2021,12,19,4.21,97.38,0.57
2021,12,20,4.15,86.25,0.25
2021,12,21,3.6,90.94,0.25
2021,12,22,3.78,94.94,6.92
2021,12,23,4.76,98.44,12.79
2021,12,24,4.39,90.69,1.27
2021,12,25,3.48,80.25,0.15
2021,12,26,4.09,87.69,2.08
2021,12,27,4.7,97.94,0.84
2021,12,28,5.37,97.94,2.29
2021,12,29,5.55,95.12,12.95
2021,12,30,7.14,94.44,1.76
2021,12,31,7.08,95.88,9.57
